Question_ID,Question_Version,Level,Topic_Code,LO_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Answer_Explanation,Probe_Type,TLG_Key_Idea_Ref,Alternative_Conception_Ref,Diagnostic_Use,Review_Status,Source_Note,Teacher_Notes,Times_Used,Last_Used,Created_Date,Approved_Date,Approved_By
P4_CYC_MAT_C02_Q03,3,P4,P4-CYC-MAT,P4-CYC-MAT-C02,Sand can be poured and takes the shape of a container. Why is sand still considered a solid?,Anything that can be poured is a liquid.,Sand has no mass.,Each grain has its own definite shape and volume.,The grains change into liquid when poured.,C,"A pile of sand can be poured, but each grain still has its own definite shape and volume and remains a solid.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_CYC_MAT_C02_Q04,2,P4,P4-CYC-MAT,P4-CYC-MAT-C02,Air is trapped in a sealed syringe and the plunger is pushed inward. Why can the air occupy a smaller volume?,A gas has a definite shape.,Air changes into a solid when pushed.,The air loses all its mass.,A gas has no definite volume and can be compressed.,D,Gases do not have a definite volume and can be compressed.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_CYC_MAT_P01_Q01,2,P4,P4-CYC-MAT,P4-CYC-MAT-P01,Which apparatus is most suitable for measuring 35 mL of water?,Measuring cylinder,Electronic balance,Spring balance,Metre ruler,A,A measuring cylinder is used to measure liquid volume.,Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_CYC_MAT_P01_Q02,2,P4,P4-CYC-MAT,P4-CYC-MAT-P01,A stone raises the water level in a measuring cylinder from 40 mL to 58 mL. What is the volume of the stone?,40 mL,18 mL,58 mL,98 mL,B,The stone’s volume equals the rise in water level: 58 − 40 = 18 mL.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_CYC_MAT_P01_Q03,2,P4,P4-CYC-MAT,P4-CYC-MAT-P01,A pupil uses a ruler to find the mass of a marble. Which change should be made?,Use a measuring cylinder because all measurements use volume.,Use a thermometer to measure mass.,Use an electronic balance to measure mass.,Keep the ruler because length and mass are the same quantity.,C,"Mass is measured with a balance, not a ruler.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C01_Q01,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C01,Why can you see a book under a lamp?,The book produces its own light.,Your eyes send light to the book.,Darkness makes the book visible.,Light from the lamp reflects off the book into your eyes.,D,A non-light-producing object is seen when light reflects from it into the eyes.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C01_Q02,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C01,A bicycle reflector is visible at night when car headlights shine on it. Why?,It reflects light from the headlights towards the observer.,It makes sunlight at night.,It produces electricity that lights itself.,It absorbs all incoming light.,A,The reflector is visible because it reflects light from another source.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C01_Q03,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C01,A pupil says the Moon is a source of light because it looks bright. Which correction is best?,Anything bright makes its own light.,The Moon is seen because it reflects light from the Sun.,The Moon is visible because our eyes shine on it.,"The Moon gives out only heat, not reflected light.",B,Brightness alone does not mean an object is a light source; the Moon reflects sunlight.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C01_Q04,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C01,Why is an object difficult to see in a completely dark room?,The object loses its colour permanently.,The object stops being matter.,There is no light to reflect from the object into the eyes.,The eyes can see only objects that make sound.,C,"Without light reaching and reflecting from the object, the eyes receive no light from it.",Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C02_Q01,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C02,Why does a shadow form behind an object that blocks light?,Light travels only in circles.,The object produces darkness.,Light disappears whenever it touches air.,Light travels in straight lines and cannot pass through the object.,D,A shadow is an area that receives less or no light because the straight-line path is blocked.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C02_Q02,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C02,You can see a candle through a straight tube but not when the tube is bent. What does this show?,Light travels in straight lines.,Light travels only through plastic.,Light needs air to bend around corners.,Candlelight becomes weaker when a tube is bent.,A,The bent tube blocks the straight path from the candle to the eye.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C02_Q03,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C02,A thin sheet lets some light pass through it. What kind of shadow should it produce compared with cardboard?,A darker shadow because more light passes through.,A lighter shadow because only part of the light is blocked.,No difference because all materials block the same amount of light.,A shadow in front of the light source.,B,"Partial blocking allows some light through, so the shadow is less dark.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_C02_Q04,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-C02,Where is the shadow of an object formed when a torch shines on it?,Between the torch and the object only.,Inside the torch.,On the side away from the torch.,Always directly above the object.,C,"The object blocks light travelling away from the source, so the shadow forms behind it.",Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_P01_Q01,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-P01,A pupil wants to find out how the distance between a torch and a toy affects shadow size. What should be changed?,"The toy, screen and torch all at the same time",Only the colour of the toy,The room temperature,Only the distance between the torch and the toy,D,A fair test changes the selected distance while keeping other relevant variables the same.,Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_P01_Q02,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-P01,How can a pupil usually make the shadow of a toy larger on a fixed screen?,Move the toy closer to the light source.,Move the toy closer to the screen.,Use a smaller toy but keep all distances the same.,Turn the screen around.,A,Moving the object closer to the light source causes it to block a wider spread of light reaching the screen.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_LIGHT_P01_Q03,2,P4,P4-ENE-LIGHT,P4-ENE-LIGHT-P01,A pupil rotates an object and notices the shadow shape changes. What is the best explanation?,Light stops travelling in straight lines when the object rotates.,Different parts of the object block the light when its position or orientation changes.,The screen changes shape by itself.,The object becomes a light source.,B,Shadow shape depends on the shape and position of the object blocking the light.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C01_Q01,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C01,Which is a common source of heat?,A mirror,A glass of room-temperature water,A lit stove,An unlit wooden ruler,C,A lit stove gives out heat energy.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C01_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C01,Which object is acting as a heat source while it is operating?,A metal spoon left on a table,A ceramic plate,A closed book,An electric toaster,D,An operating toaster produces heat used to warm or cook food.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C01_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C01,A shiny mirror feels warm after being in sunlight. Does that make it a heat source?,No. Being warmed does not necessarily mean the object produces heat itself.,Yes. Any warm object must be a heat source.,Yes. All shiny objects create heat.,No. Mirrors cannot gain heat.,A,An object can gain heat from another source without itself being the original heat source.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C01_Q04,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C01,Which situation involves a source supplying heat to another object?,A ruler measuring a table,A flame heating a metal pot,A mirror reflecting an image,A sponge absorbing water,B,The flame supplies heat energy to the pot.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C02_Q01,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C02,What does temperature measure?,The mass of an object,The amount of space an object occupies,The degree of hotness of an object,How quickly an object moves,C,Temperature measures degree of hotness.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C02_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C02,Cup A is at 70°C and Cup B is at 25°C. Which cup has the higher temperature?,Cup B,Both have the same temperature,There is not enough information because temperature cannot be measured numerically.,Cup A,D,70°C represents a higher degree of hotness than 25°C.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C02_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C02,A large bucket of water and a small cup of water are both at 30°C. Which statement is correct?,They have the same temperature.,The bucket must have the higher temperature because it contains more water.,The cup must have the higher temperature because it is smaller.,Temperature is the same as volume.,A,Temperature is a measure of hotness and does not become higher simply because there is more substance.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C02_Q04,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C02,Which instrument gives a numerical measurement of temperature?,Measuring cylinder,Thermometer,Electronic balance,Ruler,B,A thermometer measures temperature.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C03_Q01,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C03,Which statement about heat is correct?,Heat is a type of matter.,Heat is the same quantity as temperature.,Heat is a form of energy.,Heat has a fixed shape and volume.,C,Heat is a form of energy.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C03_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C03,A metal spoon becomes warmer when placed in hot soup. What has the spoon gained?,Mass from the soup,A new state of matter,Cold energy,Heat energy,D,The spoon gains heat from the hotter soup.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C03_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C03,A pupil says heat is a substance stored inside an object like water in a bottle. Which correction is best?,Heat is energy transferred because of a temperature difference.,Heat is a gas trapped in hot objects.,Heat is another name for mass.,Heat is a solid that melts at high temperature.,A,"Heat is energy, not a material substance.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C03_Q04,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C03,"When a cold object is placed beside a hotter object and energy transfers to it, what form of energy is being transferred?",Sound,Heat,Light only,Mass,B,The energy transferred due to the temperature difference is heat.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C04_Q01,3,P4,P4-ENE-HEAT,P4-ENE-HEAT-C04,Which statement correctly shows the difference between heat and temperature?,Heat and temperature are exactly the same quantity.,"Heat measures mass, while temperature measures volume.","Heat is energy, while temperature measures degree of hotness.","Temperature is energy, while heat measures length.",C,Heat is a form of energy. Temperature tells how hot or cold something is.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C04_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C04,A cup of tea cools from 80°C to 40°C. Which statement is correct?,The tea lost temperature but gained heat.,"Heat and temperature both mean the same thing, so no distinction can be made.",The tea’s mass must have halved.,The tea lost heat and its temperature decreased.,D,Heat transfer can cause a change in the measured temperature.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C04_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C04,A pupil says “this object has 50°C of heat.” What is wrong with the statement?,"Degrees Celsius measure temperature, not heat.",Degrees Celsius measure mass.,Heat can never affect temperature.,Temperature is measured in metres.,A,"°C is a temperature unit, so it should describe the object’s temperature.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C04_Q04,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C04,Two objects have the same temperature. Which statement is safest?,They must have the same mass.,"They have the same degree of hotness, but this does not make heat and temperature the same quantity.",They must be made of the same material.,They contain exactly the same amount of matter.,B,Temperature compares degree of hotness; it does not by itself determine mass or material.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C05_Q01,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C05,"When a hot metal spoon is placed in cooler water, in which direction does heat flow?",From the water to the spoon,Equally in both directions with no net transfer,From the spoon to the water,Heat does not flow between objects.,C,Heat flows from a hotter object to a colder object.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C05_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C05,A drink at 60°C is left in a room at 25°C for a long time. What will eventually happen?,It will stay at 60°C forever.,It will fall below 0°C without any other cooling.,The room will remain unchanged while the drink becomes hotter.,Its temperature will approach the room temperature.,D,Heat transfers from the hotter drink to the cooler surroundings until temperatures become the same.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C05_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C05,A metal chair feels cold when you touch it. Which explanation is correct?,Heat flows from your warmer hand to the cooler chair.,Cold energy flows from the chair into your hand.,The chair produces coldness.,Your hand loses mass to the chair.,A,Coldness is not a form of energy flowing into the hand; heat leaves the warmer hand.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C05_Q04,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C05,Two objects at the same temperature are placed in contact. What happens to their temperatures if the surroundings do not affect them?,The smaller one always becomes hotter.,"There is no net heat transfer between them, so their temperatures stay the same.",Heat flows from both until both freeze.,The heavier one always becomes colder.,B,"Without a temperature difference, there is no net heat transfer between the objects.",Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C06_Q01,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C06,What usually happens to an object’s temperature when it gains heat without changing state?,Its temperature decreases.,Its mass becomes zero.,Its temperature increases.,Its temperature must remain unchanged in every situation.,C,Heat gain usually raises temperature when there is no change of state.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C06_Q02,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C06,A cup of water is cooled from 35°C to 20°C. What has happened to the water?,It has gained heat.,It has gained mass.,It has become a gas.,It has lost heat.,D,A decrease in temperature indicates that the water has lost heat.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P4_ENE_HEAT_C06_Q03,2,P4,P4-ENE-HEAT,P4-ENE-HEAT-C06,A pupil warms a metal block and sees its temperature rise. The pupil says the block must have lost heat because the room became cooler. Which correction is best?,A rising temperature of the block shows that the block gained heat.,A rising temperature always means heat loss.,Temperature changes are unrelated to heat transfer.,The block must have lost mass instead of gaining heat.,A,"For the block, a temperature rise indicates heat gain.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
